Image Pair,Dice,SSIM,MSE,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
340,0.0019587749756020995,0.7651070918638634,0.017796993255615234,-,-,-,-
341,0.0023305225482568898,0.7319486294260807,0.021236181259155273,-,-,-,-
342,0.0015888376156479348,0.8011290574203004,0.021391630172729492,-,-,-,-
343,0.002344511562331656,0.7532637452589509,0.030183076858520508,-,-,-,-
344,0.0029561403448668125,0.7488576440973517,0.02726292610168457,-,-,-,-
345,0.0030837755655040173,0.7444171558317952,0.01865863800048828,-,-,-,-
346,0.003419192956794781,0.7367273028629375,0.021582841873168945,-,-,-,-
347,0.004096062539823701,0.6909296350039211,0.02258777618408203,-,-,-,-
348,0.004047360837960134,0.7044720924986354,0.021625280380249023,-,-,-,-
349,0.002397549553325421,0.7580807931678848,0.01975083351135254,-,-,-,-
350,0.003525719466618682,0.711828927756057,0.020476818084716797,-,-,-,-
351,0.0037795055477201226,0.684006653288497,0.02329540252685547,-,-,-,-
352,0.0019275004371457052,0.7850295467379487,0.021951675415039062,-,-,-,-
353,0.002161370835708709,0.7616026363290077,0.02119159698486328,-,-,-,-
354,0.002141466618918919,0.7612410618149185,0.016005277633666992,-,-,-,-
355,0.0022525847524634676,0.7640199503480078,0.02611684799194336,-,-,-,-
356,0.002394954395493147,0.7447329473869996,0.026806116104125977,-,-,-,-
357,0.0017656751456575747,0.8031071320515911,0.019031286239624023,-,-,-,-
358,0.002031463866752089,0.7664442076386416,0.02239203453063965,-,-,-,-
359,0.0024980182411847335,0.7306240523127872,0.025355815887451172,-,-,-,-
360,0.0022904213102291847,0.7588434861116867,0.020017385482788086,-,-,-,-
361,0.0026704669371137393,0.7474047164235164,0.02160811424255371,-,-,-,-
362,0.0026993885977493193,0.7402908226867493,0.019869327545166016,-,-,-,-
363,0.001697521275036055,0.8035047898933799,0.03416275978088379,-,-,-,-
364,0.0020374111126315003,0.7742816857187844,0.019875288009643555,-,-,-,-
